Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_delete_item_from_cart_TC005_TestSuite,Chrome 120.0.0.0,,,30-01-2024 22:35:23,30-01-2024 22:37:03,1m - 40.340s,PASSED
,,,,,,,
Test Cases/Testing_Modes/By_Record_web/Amazon_delete_item_from_cart_TC005,Chrome 120.0.0.0,,,30-01-2024 22:35:23,30-01-2024 22:37:03,1m - 40.142s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,30-01-2024 22:35:24,30-01-2024 22:35:25,1.741s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,30-01-2024 22:35:25,30-01-2024 22:35:27,1.719s,PASSED
"setText(findTestObject(""Object Repository/Amazon_delete_item_from_cart_TC005/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""chemistry book"")",Chrome 120.0.0.0,,,30-01-2024 22:35:27,30-01-2024 22:35:46,18.610s,PASSED
"click(findTestObject(""Object Repository/Amazon_delete_item_from_cart_TC005/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,30-01-2024 22:35:46,30-01-2024 22:35:57,11.546s,PASSED
"click(findTestObject(""Object Repository/Amazon_delete_item_from_cart_TC005/Page_Amazon.com  chemistry book/span_Chemistry Made Easy An Illustrated Stu_153de6""))",Chrome 120.0.0.0,,,30-01-2024 22:35:57,30-01-2024 22:36:13,15.359s,PASSED
"click(findTestObject(""Amazon_add_to_cart_TC004/Page_Amazon.com AP Chemistry Premium, 2024 _35f007/input_submit.add-to-cart""))",Chrome 120.0.0.0,,,30-01-2024 22:36:13,30-01-2024 22:36:26,13.130s,PASSED
"click(findTestObject(""Object Repository/Amazon_delete_item_from_cart_TC005/Page_Amazon.com Shopping Cart/a_Go to Cart""))",Chrome 120.0.0.0,,,30-01-2024 22:36:26,30-01-2024 22:36:32,5.932s,PASSED
"click(findTestObject(""Object Repository/Amazon_delete_item_from_cart_TC005/Page_Amazon.com Shopping Cart/input_submit.delete.8bc2c0f9-b1cf-4a72-854f_3b8889""))",Chrome 120.0.0.0,,,30-01-2024 22:36:32,30-01-2024 22:37:03,31.458s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 22:37:03,30-01-2024 22:37:03,0.339s,PASSED
